Laptop,Status,Brand,Model,CPU,RAM,Storage,Storage type,GPU,Screen,Touch,Final Price
"MSI Creator Z16 HX Studio B13VGTO-033ES Intel Core i7-13700HX/32GB/1TB SSD/RTX 4070/16"" Táctil",New,MSI,Creator,Intel Core i7,32,1000,SSD,RTX 4070,16.0,Yes,244767.0
"MSI Stealth 14 Studio A13VF-050ES Intel Core i7-13700H/16GB/1TB SSD/RTX 4060/14""",New,MSI,Stealth,Intel Core i7,16,1000,SSD,RTX 4060,14.0,No,194967.83000000002
"Apple MacBook Pro Intel Core i5/8GB/256GB/13"" Plateado",Refurbished,Apple,MacBook Pro,Intel Core i5,8,256,Unknown,Unknown,13.0,No,52642.75
"ASUS ZenBook Pro Duo 15 OLED UX582ZM-H2030W Intel Core i7-12700H/32GB/1TB SSD/RTX 3060/15.6"" Táctil",New,Asus,ZenBook,Intel Core i7,32,1000,SSD,RTX 3060,15.6,Yes,232317.0
"ASUS ROG Zephyrus Duo 16 2023 GX650PY-NM003W AMD Ryzen 9 7945HX/64GB/2TB+2TB SSD/RTX 4090/16""",New,Asus,ROG,AMD Ryzen 9,64,2000,SSD,RTX 4090,16.0,No,428197.0
"Gigabyte AERO 17 XE5-73ES738HP Intel Core i7-12700H/16GB/2TB SSD/RTX 3070Ti/17.3""",New,Gigabyte,Aero,Intel Core i7,16,2000,SSD,RTX 3070,17.3,No,248917.0
"Microsoft Surface GO 3 Intel Pentium Gold 6500Y/8GB/128GB SSD/10.5"" Táctil",New,Microsoft,Surface Go,Intel Pentium,8,128,SSD,Unknown,10.5,Yes,49717.83
"HP Victus 15-fa1002ns Intel Core i7-13700H/16GB/512GB SSD/RTX 4050/15.6""",New,HP,Victus,Intel Core i7,16,512,SSD,RTX 4050,15.6,No,107817.83
"MSI Prestige 16 A12UD-221XES Intel Core i7-1280P/16GB/1TB SSD/RTX 3050Ti/16""",New,MSI,Prestige,Intel Core i7,16,1000,SSD,RTX 3050,16.0,No,156787.0
"Apple MacBook Pro Apple M2 Max/32GB/1TB SSD/16.2"" Plata",New,Apple,MacBook Pro,Apple M2,32,1000,SSD,Unknown,16.2,No,315317.0
"Apple MacBook Pro Apple M2 Max/32GB/1TB SSD/14.2"" Gris Espacial",New,Apple,MacBook Pro,Apple M2,32,1000,SSD,Unknown,14.2,No,280457.83
"Apple MacBook Air Apple M1/8GB/512GB SSD/GPU Hepta Core/13.3"" Gris Espacial",New,Apple,MacBook Air,Apple M1,8,512,SSD,Unknown,13.3,No,111967.0
"HP EliteBook 840 G3 Intel Core i5-6200U/16GB/256GB SSD/14""",Refurbished,HP,EliteBook,Intel Core i5,16,256,SSD,Unknown,14.0,No,24210.27
"Gigabyte AERO 16 OLED BSF-73ES994SO Intel Core i7-13700H/16GB/1TB SSD/RTX 4070/16""",New,Gigabyte,Aero,Intel Core i7,16,1000,SSD,RTX 4070,16.0,No,191647.83000000002
"Primux ioxbook 1406F Intel Celeron N4000/4 GB/128GB SSD/14""",New,Primux,Ioxbook,Intel Celeron,4,128,SSD,Unknown,14.0,No,17346.170000000002
"Lenovo IdeaPad 3 15ALC6 AMD Ryzen 5 5500U/16 GB/512GB SSD/15.6""",New,Lenovo,IdeaPad,AMD Ryzen 5,16,512,SSD,Unknown,15.6,No,57187.83
"Apple Macbook Pro Apple M2/8GB/512GB SSD/GPU Deca Core/13.3"" Gris Espacial",New,Apple,MacBook Pro,Apple M2,8,512,SSD,Unknown,13.3,No,153467.0
"ASUS VivoBook 16X M1603QA-MB155 AMD Ryzen 5 5600H/8GB/512GB SSD/16""",New,Asus,VivoBook,AMD Ryzen 5,8,512,SSD,Unknown,16.0,No,36343.21
"Lenovo V15 G2 Intel Core i3-1115G4/8GB/256GB SSD/15.6""",New,Lenovo,V15,Intel Core i3,8,256,SSD,Unknown,15.6,No,36769.83
"Apple MacBook Pro Apple M2 Pro 12 Núcleos/16GB/1TB SSD/14.2"" Gris Espacial",New,Apple,MacBook Pro,Apple M2 Pro,16,1000,SSD,Unknown,14.2,No,226507.83000000002
"Acer Aspire 3 A315-43-R4VC AMD Ryzen 5 5500U/8GB/512GB SSD/15.6""",New,Acer,Aspire,AMD Ryzen 5,8,512,SSD,Unknown,15.6,No,67977.0
"MSI Creator Z16 HX Studio B13VFTO-046ES Intel Core i7-13700HX/16GB/1TB SSD/RTX 4060/16"" Táctil",New,MSI,Creator,Intel Core i7,16,1000,SSD,RTX 4060,16.0,Yes,219867.0
"MSI Stealth 14 Studio A13VE-052XES Intel Core i7-13700H/16GB/1TB SSD/RTX 4050/14""",New,MSI,Stealth,Intel Core i7,16,1000,SSD,RTX 4050,14.0,No,165087.83
"MSI Summit E14 FlipEvo A12MT-056ES Intel Core i7-1280P/16GB/1TB SSD/14"" Táctil",New,MSI,Summit,Intel Core i7,16,1000,SSD,Unknown,14.0,Yes,145235.06
"Microsoft Surface Laptop 5 Negro Intel Evo Core i5-1235U/8GB/512GB SSD/13.5"" Táctil",New,Microsoft,Surface Laptop,Intel Evo Core i5,8,512,SSD,Unknown,13.5,Yes,117777.0
"PcCom Revolt 3060 Intel Core i7-12700H/32GB/500GB SSD/RTX 3060/15.6""/Windows 11 Home",New,PcCom,Revolt,Intel Core i7,32,500,SSD,RTX 3060,15.6,No,141017.0
"Lenovo V15 G3 ABA AMD Ryzen 7 5825U/16GB/512GB SSD/15.6""",New,Lenovo,V15,AMD Ryzen 7,16,512,SSD,Unknown,15.6,No,51459.17
"MSI Summit E14 Flip Evo A13MT-227ES Intel Evo Core i7-1360P/16GB/1TB SSD/14"" Táctil",New,MSI,Summit,Intel Evo Core i7,16,1000,SSD,Unknown,14.0,Yes,140187.0
"HP 255 G9 AMD Ryzen 3 5425U/8GB/256GB SSD/15.6""",New,HP,255,AMD Ryzen 3,8,256,SSD,Unknown,15.6,No,32042.15
"Prixton Netbook Pro Intel Celeron N4020/4GB/64GB eMMC/14.1""",New,Prixton,Netbook Pro,Intel Celeron,4,64,eMMC,Unknown,14.1,No,24895.02
"HP 15S-EQ2132NS AMD Ryzen 3 5300U/8GB/512GB SSD/15.6""",New,HP,15S,AMD Ryzen 3,8,512,SSD,Unknown,15.6,No,34528.0
"Lenovo V15 G2 ALC AMD Ryzen 5 5500U/8GB/256GB SSD/15.6"" Negro",New,Lenovo,V15,AMD Ryzen 5,8,256,SSD,Unknown,15.6,No,43907.0
"Microsoft Surface Laptop Go 2 Intel Core i5-1135G7/8GB/128GB SSD/12.4"" Táctil",New,Microsoft,Surface Laptop,Intel Core i5,8,128,SSD,Unknown,12.4,Yes,63827.0
"ASUS ROG Zephyrus G14 2023 GA402XV-N2041 AMD Ryzen 9 7940HS/32GB/1TB SSD/RTX 4060/14""",New,Asus,ROG,AMD Ryzen 9,32,1000,SSD,RTX 4060,14.0,No,190817.0
"ASUS ROG Flow X13 2023 GV302XV-MU006W AMD Ryzen 9 7940HS/16GB/1TB SSD/RTX 4060/13.4"" Táctil",New,Asus,ROG,AMD Ryzen 9,16,1000,SSD,RTX 4060,13.4,Yes,165917.0
"MSI Raider GE78HX 13VH-066XES Intel Core i7-13700HX/32GB/1TB SSD/RTX 4080/17""",New,MSI,Raider,Intel Core i7,32,1000,SSD,RTX 4080,17.0,No,307017.0
"Alurin Flex Advance Intel Core i5-1155G7/8GB/500GB SSD/15.6"" + Windows 11 Home",New,Alurin,Flex Advance,Intel Core i5,8,500,SSD,Unknown,15.6,No,49800.0
"HP 250 G9 Intel Core i5-1235U/16GB/512GB SSD/15.6"" Plata",New,HP,250,Intel Core i5,16,512,SSD,Unknown,15.6,No,50547.83
"HP ChromeBook 14b-na0013ns AMD Athlon Silver 3050C/4GB/64GB eMMC/14""",New,HP,Chromebook,AMD Athlon,4,64,eMMC,Unknown,14.0,No,34777.0
"Gigabyte AORUS 15X ASF-B3ES754SH Intel Core i9-13900HX/16GB/1TB SSD/RTX 4070/15.6""",New,Gigabyte,Aorus,Intel Core i9,16,1000,SSD,RTX 4070,15.6,No,180857.0
"Microsoft Surface Pro 9 Grafito Intel Evo Core i7-1255U/16GB/256GB SSD/13"" Táctil",New,Microsoft,Surface Pro,Intel Evo Core i7,16,256,SSD,Unknown,13.0,Yes,154297.0
"Apple MacBook Pro Apple M2 Pro 10 Núcleos/32GB/512GB SSD/14.2"" Gris Espacial",New,Apple,MacBook Pro,Apple M2 Pro,32,512,SSD,Unknown,14.2,No,225677.0
"MSI Modern 15 B12M-025XES Intel Core i5-1235U/8GB/512GB SSD/15.6""",New,MSI,Modern,Intel Core i5,8,512,SSD,Unknown,15.6,No,66317.0
"MSI Stealth 14 Studio A13VF-049XES Intel Core i7-13700H/16GB/1TB SSD/RTX 4060/14""",New,MSI,Stealth,Intel Core i7,16,1000,SSD,RTX 4060,14.0,No,179197.0
ASUS M515UA-R75BLHDSS1 AMD Ryzen 7 5700U/8GB/512GB SSD/15.6'' (PT),New,Asus,M515UA,AMD Ryzen 7,8,512,SSD,Unknown,15.6,No,56756.229999999996
"MSI Creator M16 B13UDX-684XES Intel Core i7-13700H/32GB/1TB SSD/RTX 3050/16""",New,MSI,Creator,Intel Core i7,32,1000,SSD,RTX 3050,16.0,No,141017.83
"ASUS ROG Flow Z13 2023 GZ301VU-MU006W Intel Core i9-13900H/16GB/1TB SSD/RTX 4050/13.4"" Táctil",New,Asus,ROG,Intel Core i9,16,1000,SSD,RTX 4050,13.4,Yes,174217.0
"Apple MacBook Pro Apple M2 Pro 10 Núcleos/32GB/1TB SSD/14.2"" Gris Espacial",New,Apple,MacBook Pro,Apple M2 Pro,32,1000,SSD,Unknown,14.2,No,243937.83000000002
"MSI Summit E16 Flip A13VET-084XES Intel Core i7-1360P/32GB/1TB SSD/RTX 4050/16"" Táctil",New,MSI,Summit,Intel Core i7,32,1000,SSD,RTX 4050,16.0,Yes,174217.0
"HP Notebook 14S-dq0009ns Intel Celeron N4020/4GB/64GB eMMC/14""",New,HP,Notebook,Intel Celeron,4,64,eMMC,Unknown,14.0,No,27307.0
"Asus M515UA-EJ374 AMD Ryzen 5 5500U/8GB/512GB SSD/15.6""",New,Asus,M515UA,AMD Ryzen 5,8,512,SSD,Unknown,15.6,No,33448.17
"Lenovo V15 G2 ITL Intel Core i5-1135G7/8 GB/256 GB SSD/15.6""",New,Lenovo,V15,Intel Core i5,8,256,SSD,Unknown,15.6,No,38289.56
"Lenovo ThinkPad T480 Intel Core i5-8350U/16GB/256GB SSD/14""",Refurbished,Lenovo,ThinkPad,Intel Core i5,16,256,SSD,Unknown,14.0,No,47642.0
"ASUS ROG Strix Scar 16 2023 G634JZ-NM010W Intel Core i9-13980HX/32GB/2TB SSD/RTX 4080/16""",New,Asus,ROG,Intel Core i9,32,2000,SSD,RTX 4080,16.0,No,290417.83
"Microsoft Surface Laptop 5 Alcántara Intel Evo Core i5-1235U/8GB/512GB SSD/13.5"" Táctil",New,Microsoft,Surface Laptop,Intel Evo Core i5,8,512,SSD,Unknown,13.5,Yes,117777.0
"Microsoft Surface Pro 9 Zafiro Intel Evo Core i5-1235U/8GB/256GB SSD/13"" Táctil",New,Microsoft,Surface Pro,Intel Evo Core i5,8,256,SSD,Unknown,13.0,Yes,107817.0
"LG Gram 17ZD90R-G.AX75B Intel Evo Core i7-1360P/16GB/512GB SSD/17""",New,LG,Gram,Intel Evo Core i7,16,512,SSD,Unknown,17.0,No,141017.0
"HP 470 G9 Intel Core i7-1255U/16GB/512GB SSD/MX550/17.3""",New,HP,470,Intel Core i7,16,512,SSD,MX 550,17.3,No,107900.0
"ASUS F1500EA-BQ3072 Intel Core i3-1115G4/8GB/512GB SSD/15.6""",New,Asus,VivoBook,Intel Core i3,8,512,SSD,Unknown,15.6,No,30876.0
"Razer Blade 16 Doble Resolución UHD+/FHD+ Intel Core i9-13950HX/32GB/2TB SSD/RTX 4090/16""",New,Razer,Blade,Intel Core i9,32,2000,SSD,RTX 4090,16.0,No,414917.83
"Asus Rog Strix G15 G513QR-HF118 AMD Ryzen 7 5800H/32GB/1TB SSD/RTX3070/15.6""",New,Asus,ROG,AMD Ryzen 7,32,1000,SSD,RTX 3070,15.6,No,172557.83000000002
"Dell Vostro 3520 Intel Core i7-1255U/16 GB/512GB SSD/15.6"" (PT)",New,Dell,Vostro,Intel Core i7,16,512,SSD,Unknown,15.6,No,82816.56999999999
"LG Gram 14ZB90Q Intel Core i5-1240P/16GB/512GB SSD/14""",New,LG,Gram,Intel Core i5,16,512,SSD,Unknown,14.0,No,95367.0
"Primux Ioxbook 15CA Intel Celeron N4000/8GB/256GB SSD/15.6""",New,Primux,Ioxbook,Intel Celeron,8,256,SSD,Unknown,15.6,No,19007.0
"HP 15S-FQ2173NS Intel Core i3-1115G4/8GB/256GB SSD/15.6""",New,HP,15S,Intel Core i3,8,256,SSD,Unknown,15.6,No,45843.39000000001
"Apple MacBook Pro Apple M2 Pro 12 Núcleos/16GB/512GB SSD/16.2"" Gris Espacial",New,Apple,MacBook Pro,Apple M2 Pro,16,512,SSD,Unknown,16.2,No,226507.83000000002
"Microsoft Surface Pro 9 Grafito Intel Evo Core i5-1235U/8GB/256GB SSD/13"" Táctil",New,Microsoft,Surface Pro,Intel Evo Core i5,8,256,SSD,Unknown,13.0,Yes,107817.0
"Alurin Go Intel Pentium N4200/8GB/256GB SSD/nOS/14.1""",New,Alurin,Go,Intel Pentium,8,256,SSD,Unknown,14.1,No,27382.530000000002
"HP Spectre x360 14-ef0003ns Intel Evo Core i7-1255U/16GB/1TB SSD/13.5"" Táctil",New,HP,Spectre,Intel Evo Core i7,16,1000,SSD,Unknown,13.5,Yes,141017.83
"LG Gram 15Z90R-G.AD78B Intel Evo Core i7-1360P/32GB/1TB SSD/15""",New,LG,Gram,Intel Evo Core i7,32,1000,SSD,Unknown,15.0,No,160107.83
"Samsung Galaxy Book3 Pro Intel Evo Core i7-1360P/16GB/512GB SSD/16""",New,Samsung,Galaxy Book,Intel Evo Core i7,16,512,SSD,Unknown,16.0,No,161849.17
"Lenovo ThinkPad L15 Gen 3 Intel Core i5-1235U/8GB/256GB SSD/15.6""",New,Lenovo,ThinkPad,Intel Core i5,8,256,SSD,Unknown,15.6,No,97524.17
"Lenovo IdeaPad Gaming 3 15ACH6-302 AMD Ryzen 5 5600H/8GB/256 SSD/GTX1650/15.6"" (PT)",New,Lenovo,IdeaPad,AMD Ryzen 5,8,256,SSD,GTX 1650,15.6,No,69231.13
"Alurin Flex Intel Core i3-10110U/8GB/128GB SSD/nOS/14""",New,Alurin,Flex,Intel Core i3,8,128,SSD,Unknown,14.0,No,33117.0
"Medion Akoya E15301 MD62123 AMD Ryzen 3 3200U/8GB/256 GB SSD/15.6""",New,Medion,Akoya,AMD Ryzen 3,8,256,SSD,Unknown,15.6,No,43907.0
"Microsoft Surface Laptop 4 Platino AMD Ryzen 7 4980U/8GB/256 GB SSD/15"" Táctil",New,Microsoft,Surface Laptop,AMD Ryzen 7,8,256,SSD,Unknown,15.0,Yes,120267.0
"Razer Blade 16 QHD+ Intel Core i9-13950HX/16GB/1TB SSD/RTX 4060/16""",New,Razer,Blade,Intel Core i9,16,1000,SSD,RTX 4060,16.0,No,257217.0
"Razer Blade 16 QHD+ Intel Core i9-13950HX/16GB/1TB SSD/RTX 4070/16""",New,Razer,Blade,Intel Core i9,16,1000,SSD,RTX 4070,16.0,No,290417.83
"Alurin AMD R5 5500U 15.6"" 8 256 con SO",New,Alurin,Alurin,AMD Radeon 5,8,256,Unknown,Unknown,15.6,No,41417.0
"Alurin Flex Advance AMD Ryzen 5 5500U/8GB/500GB SSD/15.6"" + Windows 11 Home",New,Alurin,Flex Advance,AMD Ryzen 5,8,500,SSD,Unknown,15.6,No,46397.0
"Razer Blade 16 Dual UHD+FHD+ Intel Core i9-13950HX/32GB/1TB SSD/RTX 4070/16""",New,Razer,Blade,Intel Core i9,32,1000,SSD,RTX 4070,16.0,No,315399.17
"ASUS ZenBook 14 OLED UX3402VA-KM005W Intel Evo Core i7-1360P/16GB/512GB SSD/14""",New,Asus,ZenBook,Intel Evo Core i7,16,512,SSD,Unknown,14.0,No,104497.83
"Alurin Flex Advance Intel Core i5-1155G7/8GB/256GB SSD/15.6""",New,Alurin,Flex Advance,Intel Core i5,8,256,SSD,Unknown,15.6,No,36520.0
"Apple Macbook Air 2023 Apple M2/8GB/256GB SSD/GPU Deca Core/15.3"" Plata",New,Apple,MacBook Air,Apple M2,8,256,SSD,Unknown,15.3,No,132717.0
"HP 250 G9 Intel Core i3-1215U/8GB/512GB SSD/15.6""",New,HP,250,Intel Core i3,8,512,SSD,Unknown,15.6,No,33042.3
"ASUS ROG Strix G17 G713PV-HX058 AMD Ryzen 9 7845HX/32GB/1TB SSD/RTX 4060/17.3""",Refurbished,Asus,ROG,AMD Ryzen 9,32,1000,SSD,RTX 4060,17.3,No,174217.0
"HP 15s-fq4106ns Intel Core i5-1155G7/8GB/256GB SSD/15.6""",New,HP,15S,Intel Core i5,8,256,SSD,Unknown,15.6,No,37709.39
"HP 15S-FQ4059NS Intel Core i5-1155G7/8GB/512GB SSD/15.6""",New,HP,15S,Intel Core i5,8,512,SSD,Unknown,15.6,No,41069.23
"Alurin Flex Advance AMD Ryzen 5 5500U/8GB/256GB SSD/15.6""",New,Alurin,Flex Advance,AMD Ryzen 5,8,256,SSD,Unknown,15.6,No,33117.0
"ASUS TUF Gaming F15 Fx506lhb-hn359 Intel Core i5-10300H/16GB/512GB SSD/GTX 1650/15.6""",New,Asus,TUF,Intel Core i5,16,512,SSD,GTX 1650,15.6,No,59677.83
"Alurin Intel Core I7 12th 15.6"" 16 500 con SO",New,Alurin,Alurin,Intel Core i7,8,500,Unknown,Unknown,15.6,No,72127.0
"HP 250 G9 Intel Core i7-1255U/16 GB/512GB SSD/15.6"" Plata",New,HP,250,Intel Core i7,16,512,SSD,Unknown,15.6,No,68392.0
"Apple MacBook Pro Apple M2 Pro 12 Núcleos/32GB/1TB SSD/16.2"" Gris Espacial",New,Apple,MacBook Pro,Apple M2 Pro,32,1000,SSD,Unknown,16.2,No,290417.83
"Lenovo V15 G2 Intel Core i3-1115G4/8GB/256GB SSD/15.6"" Negro",New,Lenovo,V15,Intel Core i3,8,256,SSD,Unknown,15.6,No,41167.17
"MSI Raider GE78HX 13VG-040ES Intel Core i7-13700HX/32GB/1TB SSD/RTX 4070/17""",New,MSI,Raider,Intel Core i7,32,1000,SSD,RTX 4070,17.0,No,248917.0
"Lenovo ThinkBook 15p Intel Core i7-10750H/16GB/1TB SSD/GTX 1650Ti/15.6""",New,Lenovo,ThinkBook,Intel Core i7,16,1000,SSD,GTX 1650,15.6,No,101177.0
"Lenovo ThinkPad E15 Gen 4 Intel Core i7-1255U/16GB/512GB SSD/15.6""",New,Lenovo,ThinkPad,Intel Core i7,16,512,SSD,Unknown,15.6,No,115785.0
"ASUS ExpertBook B1 B1502CBA-EJ0425 Intel Core i5-1235U/16GB/512GB SSD/15.6""",New,Asus,ExpertBook,Intel Core i5,16,512,SSD,Unknown,15.6,No,57685.0
"MSI Creator Z16 HX Studio B13VFTO-027ES Intel Core i9-13950HX/64GB/2TB SSD/RTX 4060/16"" Táctil",New,MSI,Creator,Intel Core i9,64,2000,SSD,RTX 4060,16.0,Yes,254088.72999999998
"HP 250 G9 Intel Core i3-1215U/8 GB/512GB SSD/15.6""",New,HP,250,Intel Core i3,8,512,SSD,Unknown,15.6,No,37599.0
"Acer Chromebook 317 Intel Celeron N4500/8GB/128GB eMMC/17.3""",New,Acer,Chromebook,Intel Celeron,8,128,eMMC,Unknown,17.3,No,41417.0
"Dynabook Toshiba Satellite Pro C50-G-10F Intel Core i7-10510U/8 GB/256GB SSD/15.6""",New,Dynabook Toshiba,Satellite Pro,Intel Core i7,8,256,SSD,Unknown,15.6,No,58017.0
"HP 15S-FQ2160NS Intel Core i3-1115G4/8GB/256GB SSD/15.6""",New,HP,15S,Intel Core i3,8,256,SSD,Unknown,15.6,No,32667.969999999998
Dell XPS 13 9315 Intel Core i5-1230U/16GB/512GB SSD/13.4'' (PT),New,Dell,XPS,Intel Core i5,16,512,SSD,Unknown,13.4,No,171250.58000000002
"HP OMEN 17-ck2001ns Intel Core i7-13700HX/32GB/1TB SSD/RTX 4080/17.3""",New,HP,Omen,Intel Core i7,32,1000,SSD,RTX 4080,17.3,No,248917.83000000002
"Lenovo Legion Pro 7 16IRX8 Intel Core i9-13900HX/32GB/1TB SSD/RTX 4070/16""",New,Lenovo,Legion,Intel Core i9,32,1000,SSD,RTX 4070,16.0,No,223187.83000000002
"Acer ConceptD 3 CN316-73G-74FZ Intel Core i7-11800H/16GB/512GB SSD/GTX 1650/16""",New,Acer,ConceptD,Intel Core i7,16,512,SSD,GTX 1650,16.0,No,149317.0
"Lenovo V15 G3 IAP Intel Core i5-1235U/8GB/512GB SSD/15.6""",New,Lenovo,V15,Intel Core i5,8,512,SSD,Unknown,15.6,No,48131.7
"Acer Predator Helios 300 PH317-55 Intel Core i7-11800H/16GB/1TB SSD/RTX3060/17.3""",New,Acer,Predator,Intel Core i7,16,1000,SSD,RTX 3060,17.3,No,149317.0
"ASUS F515EA-BQ1625W Intel Core i3-1115G4/8GB/256GB/15.6""",New,Asus,F515,Intel Core i3,8,256,Unknown,Unknown,15.6,No,33864.0
"Acer Chromebook 516 GE CBG516-1H-72EW Intel Core i7-1260P/16GB/256GB SSD/16""",New,Acer,Chromebook,Intel Core i7,16,256,SSD,Unknown,16.0,No,94537.83
"Acer Nitro 5 AN515-45-R5ZJ AMD Ryzen 9 5900HX/16GB/1TB SSD/RTX 3080/15.6""",New,Acer,Nitro,AMD Ryzen 9,16,1000,SSD,RTX 3080,15.6,No,199117.83000000002
"Dell Latitude 9510 Intel Core i5-10210U/8GB/256GB SSD/15""",New,Dell,Latitude,Intel Core i5,8,256,SSD,Unknown,15.0,No,132717.0
Lenovo IdeaPad IP 5 Chrome 16IAU7 Intel Core i5-1235U/8GB/512GB SSD/16'' (PT),New,Lenovo,IdeaPad,Intel Core i5,8,512,SSD,Unknown,16.0,No,105772.70999999999
"Lenovo Legion 5 15ACH6-276 Ryzen 7 5800H/16GB/1TB SSD/RTX3060/15.6"" (PT)",New,Lenovo,Legion,AMD Ryzen 7,16,1000,SSD,RTX 3060,15.6,No,128955.44
"MSI Creator Pro M16 B13VI-1023ES Intel Core i7-13700H/16GB/1TB SSD/RTX A1000/16""",New,MSI,Creator,Intel Core i7,16,1000,SSD,RTX A1000,16.0,No,164356.6
"MSI Creator Pro M16 B13VI-1024XES Intel Core i7-13700H/16GB/1TB SSD/RTX A1000/16""",New,MSI,Creator,Intel Core i7,16,1000,SSD,RTX A1000,16.0,No,147111.69
"MSI Creator Pro M16 B13VK-1021ES Intel Core i7-13700H/32GB/1TB SSD/RTX 3000/16""",New,MSI,Creator,Intel Core i7,32,1000,SSD,RTX 3000,16.0,No,224717.52000000002
"MSI Katana 17 B13VFK-087ES Intel Core i7-13620H/16GB/1TB SSD/RTX 4060/17.3""",New,MSI,Katana,Intel Core i7,16,1000,SSD,RTX 4060,17.3,No,165917.0
"ASUS ExpertBook B3 Flip B3402FEA-EC0765X Intel Core i5-1135G7/8GB/256GB SSD/14"" Táctil",New,Asus,ExpertBook,Intel Core i5,8,256,SSD,Unknown,14.0,Yes,69637.0
"ASUS P1412CEA-EK1154X Intel Core i5-1135G7/16GB/512GB SSD/14""",New,Asus,ExpertBook,Intel Core i5,16,512,SSD,Unknown,14.0,No,53960.79
"Microsoft Surface Pro 9 Grafito Intel Evo Core i7-1255U/16GB/512GB SSD/13"" Táctil",New,Microsoft,Surface Pro,Intel Evo Core i7,16,512,SSD,Unknown,13.0,Yes,181687.0
"Microsoft Surface Laptop Studio Intel Core i5-11300H/16GB/256GB SSD/14.4"" Táctil Platino",New,Microsoft,Surface Laptop,Intel Core i5,16,256,SSD,Unknown,14.4,Yes,141017.83
"ASUS ExpertBook B1 B1502CBA-EJ0439 Intel Core i7-1255U/16GB/512GB SSD/15.6""",New,Asus,ExpertBook,Intel Core i7,16,512,SSD,Unknown,15.6,No,66400.0
"HP EliteBook 850 G4 i5-7300U/8GB/256GB SSD/15.6""",Refurbished,HP,EliteBook,Intel Core i5,8,256,SSD,Unknown,15.6,No,56025.0
"MSI Creator M16 A12UC-090XES Intel Core i7-12700H/16GB/1TB SSD/RTX 3050/16""",New,MSI,Creator,Intel Core i7,16,1000,SSD,RTX 3050,16.0,No,124417.0
"HP 15S-EQ2051NS AMD Ryzen 3 5300U/8GB/256GB SSD/15.6""",New,HP,15S,AMD Ryzen 3,8,256,SSD,Unknown,15.6,No,35855.17
"HP ProBook 455 G10 AMD Ryzen 7 7730U/16GB/512GB SSD/15.6""",New,HP,ProBook,AMD Ryzen 7,16,512,SSD,Unknown,15.6,No,74699.17
"ASUS E510MA-EJ1188W Intel Celeron N4020/8GB/256GB SSD/15.6""",New,Asus,E510,Intel Celeron,8,256,SSD,Unknown,15.6,No,27389.170000000002
"Alurin Go Intel Pentium N4200/8GB/256GB SSD/14.1""",New,Alurin,Go,Intel Pentium,8,256,SSD,Unknown,14.1,No,33117.0
"HP ProBook 450 G9 Intel Core i7-1255U/16GB/1TB SSD/15.6""",New,HP,ProBook,Intel Core i7,16,1000,SSD,Unknown,15.6,No,108896.0
HP Victus 16-d1012np Intel Core i7-12700H/8GB/512GB SSD/RTX 3050Ti/16.1'' (PT),New,HP,Victus,Intel Core i7,8,512,SSD,RTX 3050,16.1,No,110349.33
"Lenovo IdeaPad 3 15ITL6 Intel Core i5-1135G7/8 GB/512GBSSD/15.6""",New,Lenovo,IdeaPad,Intel Core i5,8,512,SSD,Unknown,15.6,No,49717.0
"MSI Modern 14 C12M-052ES Intel Core i7-1255U/16GB/1TB SSD/14""",New,MSI,Modern,Intel Core i7,16,1000,SSD,Unknown,14.0,No,95367.0
"Microsoft Surface Pro 6 Intel Core i5-8250U/8GB/256GB SSD/12.3"" Táctil",Refurbished,Microsoft,Surface Pro,Intel Core i5,8,256,SSD,Unknown,12.3,Yes,111967.0
"MSI Creator Z16 HX Studio B13VGTO-032ES Intel Core i9-13950HX/64GB/1TB SSD/RTX 4070/16"" Táctil",New,MSI,Creator,Intel Core i9,64,1000,SSD,RTX 4070,16.0,Yes,272987.83
"MSI Creator Z17 HX Studio A13VGT-041ES Intel Core i9-13950HX/64GB/2TB SSD/RTX 4070/17"" Táctil",Refurbished,MSI,Creator,Intel Core i9,64,2000,SSD,RTX 4070,17.0,Yes,281784.17
"HP 250 G9 Intel Core i7-1255U/16GB/512GB SSD/15.6"" Gris",New,HP,250,Intel Core i7,16,512,SSD,Unknown,15.6,No,65249.619999999995
ASUS Vivobook Pro 15 M6500QE AMD Ryzen 7-5800H/16GB/1TB SSD/RTX 3050Ti/15.6'' (PT),New,Asus,VivoBook,AMD Ryzen 7,16,1000,SSD,RTX 3050,15.6,No,124628.65
"Apple MacBook Pro Apple M2 Pro 12 Núcleos/16GB/1TB SSD/16.2"" Gris Espacial",New,Apple,MacBook Pro,Apple M2 Pro,16,1000,SSD,Unknown,16.2,No,248917.83000000002
"ASUS TUF GAMING A15 FA507NU-R77B46CS1 AMD Ryzen 7 7735HS/16GB/512GB SSD/RTX4060/15.6"" (PT)",New,Asus,TUF,AMD Ryzen 7,16,512,SSD,RTX 4060,15.6,No,124496.68000000001
"Dell Latitude E5440 Intel Core i5-4310U/8GB/128GB SSD/14""",Refurbished,Dell,Latitude,Intel Core i5,8,128,SSD,Unknown,14.0,No,31457.0
"Lenovo ThinkPad T470 Intel Core i5-7300U/16GB/256GB SSD/14""",Refurbished,Lenovo,ThinkPad,Intel Core i5,16,256,SSD,Unknown,14.0,No,47725.0
